benchmark_name,scale,implementation,run_index,wall_clock_seconds,peak_memory_mb,memory_source,exit_status,notes,run_timestamp
pass0_baseline,small,pandas,1,11.705,843.8,psutil_rss,0,,2026-05-19T20:32:52.503529+00:00
pass0_baseline,small,pandas,2,11.671,816.6,psutil_rss,0,,2026-05-19T20:33:04.176402+00:00
pass0_baseline,small,pandas,3,12.724,855.0,psutil_rss,0,,2026-05-19T20:33:16.902489+00:00
pass0_baseline,small,pyspark,1,45.850,976.0,docker_stats_rss,0,,2026-05-19T20:34:48.125226+00:00
pass0_baseline,small,pyspark,2,57.841,942.7,docker_stats_rss,0,,2026-05-19T20:35:45.973099+00:00
pass0_baseline,small,pyspark,3,40.979,946.4,docker_stats_rss,0,,2026-05-19T20:36:26.961236+00:00
pass0_baseline,medium,pandas,1,63.636,860.2,psutil_rss,0,,2026-05-19T20:38:39.824155+00:00
pass0_baseline,medium,pandas,2,66.855,883.8,psutil_rss,0,,2026-05-19T20:39:46.687955+00:00
pass0_baseline,medium,pandas,3,68.976,866.4,psutil_rss,0,,2026-05-19T20:40:55.675029+00:00
pass0_baseline,medium,pyspark,1,84.541,976.8,docker_stats_rss,0,,2026-05-19T20:44:24.547533+00:00
pass0_baseline,medium,pyspark,2,92.640,916.4,docker_stats_rss,0,,2026-05-19T20:45:57.213030+00:00
pass0_baseline,medium,pyspark,3,119.971,935.3,docker_stats_rss,0,,2026-05-19T20:47:57.208315+00:00
pass0_baseline,large,pandas,1,208.591,1051.0,psutil_rss,0,,2026-05-19T20:55:11.192712+00:00
pass0_baseline,large,pandas,2,207.412,1163.9,psutil_rss,0,,2026-05-19T20:58:38.630222+00:00
pass0_baseline,large,pandas,3,204.350,1117.4,psutil_rss,0,,2026-05-19T21:02:03.009006+00:00
pass0_baseline,large,pyspark,1,211.522,880.3,docker_stats_rss,0,,2026-05-19T21:09:55.853955+00:00
pass0_baseline,large,pyspark,2,182.501,885.4,docker_stats_rss,0,,2026-05-19T21:12:58.541513+00:00
pass0_baseline,large,pyspark,3,199.127,894.2,docker_stats_rss,0,,2026-05-19T21:16:17.750425+00:00
